Species,Times,Concentrations
"[0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.14685478474236, 0.02433, 0.0538824299065421, 0.0418668571428571, 0.0468322330097087, 0.0534366101694915], [0.00314521525763997, 0.0, 0.0190975700934579, 0.0117431428571429, 0.0166377669902913, 0.00719338983050848]]"
"[0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.14685478474236, 0.0404587719298246, 0.0497390163934426, 0.0398426666666667, 0.0486868965517241, 0.0500681481481481], [0.00314521525763997, 0.0254312280701754, 0.0121809836065574, 0.0136773333333333, 0.00855310344827586, 0.00957185185185185]]"
"[0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0]","[[0.00990282937982281, 0.00906233009708738, 'NA', 'NA', 'NA', 'NA'], [0.140097170620177, 0.146507669902913, 'NA', 'NA', 'NA', 'NA']]"
"[0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00990282937982281, 0.00291574468085106, 0.0, 0.0, 0.0, 0.0], [0.140097170620177, 0.134124255319149, 0.12255, 0.12097, 0.13971, 0.14898]]"
"[0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.144343345757509, 0.00830912621359223, 0.0, 0.0, 0.0, 0.0], [0.00565665424249068, 0.134330873786408, 0.14217, 0.12066, 0.13979, 0.14014]]"
"[0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.144343345757509, 0.00949009090909091, 0.0, 0.0, 0.0, 0.0], [0.00565665424249068, 0.139639909090909, 0.11248, 0.10826, 0.13087, 0.13096]]"
"[0, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00806376541773331, 0.0, 0.0, 0.0, 0.0, 0.0], [0.141936234582267, 0.12716, 0.09807, 0.11123, 0.10849, 0.1019]]"
"[0, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00806376541773331, 0.0, 0.0, 0.0, 0.0, 0.0], [0.141936234582267, 0.12305, 0.10872, 0.11348, 0.10862, 0.10751]]"
"[0, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.143026287203997, 0.0, 0.0, 0.0, 0.0, 0.0], [0.00697371279600261, 0.10779, 0.10388, 0.07556, 0.11206, 0.11583]]"
"[0, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.143026287203997, 0.0, 0.0, 0.0, 0.0, 0.001752], [0.00697371279600261, 0.11042, 0.09728, 0.08418, 0.10809, 0.103368]]"
